"","x"
"1",0
"2",0
"3",0.00333333333333333
"4",0.00166666666666667
"5",0.00166666666666667
"6",0.00166666666666667
"7",0
"8",0.00166666666666667
"9",0.00166666666666667
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0.00166666666666667
"21",0
"22",0
"23",0.00333333333333333
"24",0
"25",0
"26",0.00333333333333333
"27",0.00166666666666667
"28",0.00166666666666667
"29",0.00166666666666667
"30",0
"31",0.00166666666666667
"32",0.00166666666666667
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0.00166666666666667
"44",0
"45",0
"46",0.00333333333333333
"47",0.00333333333333333
"48",0.00333333333333333
"49",0
"50",0.005
"51",0.005
"52",0.005
"53",0.00333333333333333
"54",0.005
"55",0.005
"56",0.00333333333333333
"57",0.00333333333333333
"58",0.00333333333333333
"59",0.00333333333333333
"60",0.00333333333333333
"61",0.00333333333333333
"62",0.00333333333333333
"63",0.00333333333333333
"64",0.00333333333333333
"65",0.00333333333333333
"66",0.005
"67",0.00333333333333333
"68",0.00333333333333333
"69",0.00666666666666667
"70",0.00166666666666667
"71",0.00166666666666667
"72",0.005
"73",0
"74",0.00333333333333333
"75",0.00333333333333333
"76",0.00166666666666667
"77",0.00333333333333333
"78",0.00333333333333333
"79",0.00166666666666667
"80",0.00166666666666667
"81",0.00166666666666667
"82",0.00166666666666667
"83",0.00166666666666667
"84",0.00166666666666667
"85",0.00166666666666667
"86",0.00166666666666667
"87",0.00166666666666667
"88",0.00166666666666667
"89",0.00333333333333333
"90",0.00166666666666667
"91",0.00166666666666667
"92",0.005
"93",0.00166666666666667
"94",0.00166666666666667
"95",0.005
"96",0.00333333333333333
"97",0
"98",0
"99",0.00166666666666667
"100",0
"101",0
"102",0.00166666666666667
"103",0.00166666666666667
"104",0.00166666666666667
"105",0.00166666666666667
"106",0.00166666666666667
"107",0.00166666666666667
"108",0.00166666666666667
"109",0.00166666666666667
"110",0.00166666666666667
"111",0.00166666666666667
"112",0
"113",0.00166666666666667
"114",0.00166666666666667
"115",0.005
"116",0.00166666666666667
"117",0.00166666666666667
"118",0.005
"119",0.00333333333333333
"120",0
