"","x"
"1",0.11
"2",0.126666666666667
"3",0.11
"4",0.126666666666667
"5",0.108333333333333
"6",0.123333333333333
"7",0.108333333333333
"8",0.125
"9",0.108333333333333
"10",0.125
"11",0.108333333333333
"12",0.125
"13",0.11
"14",0.126666666666667
"15",0.108333333333333
"16",0.125
"17",0.108333333333333
"18",0.125
"19",0.11
"20",0.126666666666667
"21",0.11
"22",0.126666666666667
"23",0.11
"24",0.126666666666667
"25",0.11
"26",0.126666666666667
"27",0.11
"28",0.126666666666667
"29",0.11
"30",0.126666666666667
"31",0.11
"32",0.126666666666667
"33",0.11
"34",0.126666666666667
"35",0.11
"36",0.126666666666667
"37",0.11
"38",0.126666666666667
"39",0.108333333333333
"40",0.125
"41",0.11
"42",0.126666666666667
"43",0.11
"44",0.126666666666667
"45",0.111666666666667
"46",0.125
"47",0.121666666666667
"48",0.128333333333333
"49",0.121666666666667
"50",0.128333333333333
"51",0.121666666666667
"52",0.128333333333333
"53",0.085
"54",0.0983333333333333
"55",0.0866666666666667
"56",0.1
"57",0.105
"58",0.12
"59",0.095
"60",0.101666666666667
"61",0.0933333333333333
"62",0.11
"63",0.09
"64",0.108333333333333
"65",0.095
"66",0.111666666666667
"67",0.0933333333333333
"68",0.11
"69",0.09
"70",0.108333333333333
"71",0.0933333333333333
"72",0.11
"73",0.095
"74",0.111666666666667
"75",0.0966666666666667
"76",0.111666666666667
"77",0.0933333333333333
"78",0.11
"79",0.09
"80",0.108333333333333
"81",0.113333333333333
"82",0.133333333333333
"83",0.11
"84",0.133333333333333
"85",0.111666666666667
"86",0.135
"87",0.09
"88",0.035
"89",0.103333333333333
"90",0.118333333333333
"91",0.0966666666666667
"92",0.116666666666667
"93",0.105
"94",0.118333333333333
"95",0.105
"96",0.118333333333333
"97",0.11
"98",0.12
"99",0.11
"100",0.12
"101",0.11
"102",0.12
"103",0.105
"104",0.118333333333333
"105",0.11
"106",0.12
"107",0.11
"108",0.12
"109",0.108333333333333
"110",0.118333333333333
"111",0.105
"112",0.118333333333333
"113",0.111666666666667
"114",0.121666666666667
"115",0.11
"116",0.12
"117",0.105
"118",0.118333333333333
"119",0.105
"120",0.118333333333333
"121",0.11
"122",0.12
"123",0.105
"124",0.118333333333333
"125",0.105
"126",0.118333333333333
"127",0.11
"128",0.12
"129",0.11
"130",0.12
"131",0.105
"132",0.118333333333333
"133",0.11
"134",0.12
"135",0.108333333333333
"136",0.118333333333333
"137",0.11
"138",0.12
"139",0.111666666666667
"140",0.121666666666667
"141",0.108333333333333
"142",0.118333333333333
"143",0.105
"144",0.118333333333333
"145",0.11
"146",0.12
"147",0.105
"148",0.118333333333333
"149",0.101666666666667
"150",0.116666666666667
"151",0.11
"152",0.12
"153",0.118333333333333
"154",0.115
"155",0.118333333333333
"156",0.115
"157",0.118333333333333
"158",0.115
"159",0.103333333333333
"160",0.113333333333333
"161",0.103333333333333
"162",0.113333333333333
"163",0.103333333333333
"164",0.113333333333333
"165",0.103333333333333
"166",0.113333333333333
"167",0.103333333333333
"168",0.115
"169",0.103333333333333
"170",0.113333333333333
"171",0.103333333333333
"172",0.113333333333333
"173",0.103333333333333
"174",0.113333333333333
"175",0.103333333333333
"176",0.113333333333333
"177",0.103333333333333
"178",0.113333333333333
"179",0.103333333333333
"180",0.113333333333333
"181",0.103333333333333
"182",0.113333333333333
"183",0.103333333333333
"184",0.113333333333333
"185",0.103333333333333
"186",0.113333333333333
"187",0.103333333333333
"188",0.113333333333333
"189",0.103333333333333
"190",0.113333333333333
"191",0.103333333333333
"192",0.113333333333333
"193",0.105
"194",0.115
"195",0.105
"196",0.115
"197",0.103333333333333
"198",0.113333333333333
"199",0.103333333333333
"200",0.113333333333333
"201",0.103333333333333
"202",0.113333333333333
"203",0.103333333333333
"204",0.113333333333333
"205",0.103333333333333
"206",0.113333333333333
"207",0.103333333333333
"208",0.113333333333333
"209",0.105
"210",0.115
"211",0.103333333333333
"212",0.113333333333333
"213",0.103333333333333
"214",0.113333333333333
"215",0.103333333333333
"216",0.113333333333333
"217",0.103333333333333
"218",0.113333333333333
"219",0.103333333333333
"220",0.113333333333333
"221",0.103333333333333
"222",0.113333333333333
"223",0.103333333333333
"224",0.113333333333333
"225",0.103333333333333
"226",0.113333333333333
"227",0.103333333333333
"228",0.113333333333333
"229",0.103333333333333
"230",0.113333333333333
"231",0.103333333333333
"232",0.113333333333333
"233",0.105
"234",0.115
"235",0.103333333333333
"236",0.113333333333333
"237",0.103333333333333
"238",0.113333333333333
"239",0.103333333333333
"240",0.113333333333333
"241",0.105
"242",0.115
"243",0.103333333333333
"244",0.113333333333333
"245",0.103333333333333
"246",0.113333333333333
"247",0.103333333333333
"248",0.113333333333333
"249",0.101666666666667
"250",0.111666666666667
"251",0.103333333333333
"252",0.113333333333333
"253",0.103333333333333
"254",0.113333333333333
"255",0.103333333333333
"256",0.113333333333333
"257",0.103333333333333
"258",0.113333333333333
"259",0.103333333333333
"260",0.113333333333333
"261",0.103333333333333
"262",0.113333333333333
"263",0.103333333333333
"264",0.113333333333333
"265",0.103333333333333
"266",0.113333333333333
"267",0.103333333333333
"268",0.113333333333333
"269",0.103333333333333
"270",0.113333333333333
"271",0.103333333333333
"272",0.113333333333333
"273",0.103333333333333
"274",0.113333333333333
"275",0.103333333333333
"276",0.113333333333333
"277",0.105
"278",0.115
"279",0.103333333333333
"280",0.113333333333333
"281",0.101666666666667
"282",0.113333333333333
"283",0.103333333333333
"284",0.113333333333333
"285",0.103333333333333
"286",0.113333333333333
"287",0.103333333333333
"288",0.113333333333333
"289",0.103333333333333
"290",0.113333333333333
"291",0.103333333333333
"292",0.113333333333333
"293",0.103333333333333
"294",0.113333333333333
"295",0.103333333333333
"296",0.113333333333333
"297",0.103333333333333
"298",0.113333333333333
"299",0.103333333333333
"300",0.113333333333333
"301",0.105
"302",0.115
"303",0.103333333333333
"304",0.113333333333333
"305",0.103333333333333
"306",0.113333333333333
"307",0.103333333333333
"308",0.113333333333333
"309",0.105
"310",0.115
"311",0.103333333333333
"312",0.113333333333333
"313",0.103333333333333
"314",0.113333333333333
"315",0.103333333333333
"316",0.113333333333333
"317",0.103333333333333
"318",0.113333333333333
"319",0.103333333333333
"320",0.113333333333333
"321",0.103333333333333
"322",0.113333333333333
"323",0.103333333333333
"324",0.113333333333333
"325",0.103333333333333
"326",0.113333333333333
"327",0.103333333333333
"328",0.113333333333333
"329",0.103333333333333
"330",0.113333333333333
"331",0.103333333333333
"332",0.113333333333333
"333",0.103333333333333
"334",0.113333333333333
"335",0.103333333333333
"336",0.113333333333333
"337",0.103333333333333
"338",0.113333333333333
"339",0.103333333333333
"340",0.113333333333333
"341",0.103333333333333
"342",0.113333333333333
"343",0.103333333333333
"344",0.113333333333333
"345",0.103333333333333
"346",0.113333333333333
"347",0.103333333333333
"348",0.113333333333333
"349",0.103333333333333
"350",0.113333333333333
"351",0.103333333333333
"352",0.113333333333333
"353",0.103333333333333
"354",0.113333333333333
"355",0.103333333333333
"356",0.113333333333333
"357",0.103333333333333
"358",0.113333333333333
"359",0.103333333333333
"360",0.113333333333333
"361",0.103333333333333
"362",0.113333333333333
"363",0.103333333333333
"364",0.113333333333333
"365",0.105
"366",0.115
"367",0.105
"368",0.115
"369",0.103333333333333
"370",0.113333333333333
"371",0.103333333333333
"372",0.113333333333333
"373",0.103333333333333
"374",0.113333333333333
"375",0.105
"376",0.115
"377",0.103333333333333
"378",0.113333333333333
"379",0.101666666666667
"380",0.113333333333333
"381",0.105
"382",0.115
"383",0.103333333333333
"384",0.113333333333333
"385",0.103333333333333
"386",0.113333333333333
"387",0.106666666666667
"388",0.116666666666667
"389",0.103333333333333
"390",0.113333333333333
"391",0.106666666666667
"392",0.116666666666667
"393",0.103333333333333
"394",0.113333333333333
"395",0.103333333333333
"396",0.113333333333333
"397",0.103333333333333
"398",0.113333333333333
"399",0.103333333333333
"400",0.113333333333333
"401",0.103333333333333
"402",0.113333333333333
"403",0.103333333333333
"404",0.113333333333333
"405",0.103333333333333
"406",0.113333333333333
"407",0.103333333333333
"408",0.113333333333333
"409",0.103333333333333
"410",0.113333333333333
"411",0.103333333333333
"412",0.113333333333333
"413",0.103333333333333
"414",0.113333333333333
"415",0.103333333333333
"416",0.113333333333333
"417",0.103333333333333
"418",0.113333333333333
"419",0.103333333333333
"420",0.113333333333333
"421",0.103333333333333
"422",0.113333333333333
"423",0.103333333333333
"424",0.113333333333333
"425",0.103333333333333
"426",0.113333333333333
"427",0.103333333333333
"428",0.113333333333333
"429",0.103333333333333
"430",0.113333333333333
"431",0.103333333333333
"432",0.113333333333333
"433",0.103333333333333
"434",0.113333333333333
"435",0.103333333333333
"436",0.113333333333333
"437",0.105
"438",0.115
"439",0.103333333333333
"440",0.113333333333333
"441",0.105
"442",0.115
"443",0.103333333333333
"444",0.113333333333333
"445",0.103333333333333
"446",0.113333333333333
"447",0.103333333333333
"448",0.113333333333333
"449",0.103333333333333
"450",0.113333333333333
"451",0.103333333333333
"452",0.113333333333333
"453",0.103333333333333
"454",0.113333333333333
"455",0.103333333333333
"456",0.113333333333333
"457",0.103333333333333
"458",0.113333333333333
"459",0.103333333333333
"460",0.113333333333333
"461",0.103333333333333
"462",0.113333333333333
"463",0.103333333333333
"464",0.113333333333333
"465",0.103333333333333
"466",0.113333333333333
"467",0.103333333333333
"468",0.113333333333333
"469",0.103333333333333
"470",0.113333333333333
"471",0.103333333333333
"472",0.113333333333333
"473",0.103333333333333
"474",0.113333333333333
"475",0.103333333333333
"476",0.113333333333333
"477",0.105
"478",0.115
"479",0.103333333333333
"480",0.113333333333333
"481",0.103333333333333
"482",0.113333333333333
"483",0.103333333333333
"484",0.113333333333333
"485",0.103333333333333
"486",0.113333333333333
"487",0.103333333333333
"488",0.113333333333333
"489",0.103333333333333
"490",0.113333333333333
"491",0.103333333333333
"492",0.113333333333333
"493",0.103333333333333
"494",0.113333333333333
"495",0.106666666666667
"496",0.116666666666667
"497",0.103333333333333
"498",0.113333333333333
"499",0.103333333333333
"500",0.113333333333333
"501",0.103333333333333
"502",0.113333333333333
"503",0.103333333333333
"504",0.113333333333333
"505",0.103333333333333
"506",0.113333333333333
"507",0.103333333333333
"508",0.113333333333333
"509",0.103333333333333
"510",0.113333333333333
"511",0.103333333333333
"512",0.113333333333333
"513",0.103333333333333
"514",0.115
"515",0.105
"516",0.115
"517",0.103333333333333
"518",0.113333333333333
"519",0.103333333333333
"520",0.113333333333333
"521",0.105
"522",0.115
"523",0.105
"524",0.115
"525",0.105
"526",0.113333333333333
"527",0.103333333333333
"528",0.113333333333333
"529",0.103333333333333
"530",0.113333333333333
"531",0.103333333333333
"532",0.113333333333333
"533",0.103333333333333
"534",0.113333333333333
"535",0.103333333333333
"536",0.113333333333333
"537",0.103333333333333
"538",0.113333333333333
"539",0.103333333333333
"540",0.113333333333333
"541",0.103333333333333
"542",0.113333333333333
"543",0.103333333333333
"544",0.113333333333333
"545",0.103333333333333
"546",0.113333333333333
"547",0.103333333333333
"548",0.113333333333333
"549",0.103333333333333
"550",0.113333333333333
"551",0.105
"552",0.115
"553",0.103333333333333
"554",0.113333333333333
"555",0.103333333333333
"556",0.113333333333333
"557",0.103333333333333
"558",0.113333333333333
"559",0.103333333333333
"560",0.113333333333333
"561",0.105
"562",0.115
"563",0.103333333333333
"564",0.113333333333333
"565",0.105
"566",0.115
"567",0.105
"568",0.115
"569",0.103333333333333
"570",0.113333333333333
"571",0.105
"572",0.115
"573",0.103333333333333
"574",0.113333333333333
"575",0.103333333333333
"576",0.113333333333333
"577",0.101666666666667
"578",0.113333333333333
"579",0.103333333333333
"580",0.113333333333333
"581",0.103333333333333
"582",0.113333333333333
"583",0.103333333333333
"584",0.113333333333333
"585",0.103333333333333
"586",0.113333333333333
"587",0.103333333333333
"588",0.113333333333333
"589",0.103333333333333
"590",0.113333333333333
"591",0.103333333333333
"592",0.113333333333333
"593",0.105
"594",0.115
"595",0.105
"596",0.115
"597",0.103333333333333
"598",0.113333333333333
"599",0.103333333333333
"600",0.113333333333333
"601",0.103333333333333
"602",0.113333333333333
"603",0.103333333333333
"604",0.113333333333333
"605",0.103333333333333
"606",0.113333333333333
"607",0.103333333333333
"608",0.113333333333333
"609",0.103333333333333
"610",0.113333333333333
"611",0.103333333333333
"612",0.113333333333333
"613",0.103333333333333
"614",0.113333333333333
"615",0.111666666666667
"616",0.135
"617",0.11
"618",0.136666666666667
"619",0.111666666666667
"620",0.135
"621",0.113333333333333
"622",0.136666666666667
"623",0.11
"624",0.133333333333333
"625",0.111666666666667
"626",0.135
"627",0.111666666666667
"628",0.135
"629",0.111666666666667
"630",0.135
"631",0.111666666666667
"632",0.135
"633",0.111666666666667
"634",0.135
"635",0.111666666666667
"636",0.135
"637",0.111666666666667
"638",0.135
"639",0.111666666666667
"640",0.135
"641",0.111666666666667
"642",0.135
"643",0.111666666666667
"644",0.135
"645",0.113333333333333
"646",0.136666666666667
"647",0.111666666666667
"648",0.135
"649",0.111666666666667
"650",0.135
"651",0.111666666666667
"652",0.135
"653",0.111666666666667
"654",0.135
"655",0.11
"656",0.133333333333333
"657",0.113333333333333
"658",0.136666666666667
"659",0.11
"660",0.133333333333333
"661",0.111666666666667
"662",0.135
"663",0.111666666666667
"664",0.135
"665",0.111666666666667
"666",0.135
"667",0.111666666666667
"668",0.135
"669",0.111666666666667
"670",0.135
"671",0.111666666666667
"672",0.135
"673",0.111666666666667
"674",0.135
"675",0.111666666666667
"676",0.135
"677",0.111666666666667
"678",0.135
"679",0.111666666666667
"680",0.135
"681",0.111666666666667
"682",0.135
"683",0.111666666666667
"684",0.135
"685",0.111666666666667
"686",0.135
"687",0.111666666666667
"688",0.135
"689",0.111666666666667
"690",0.133333333333333
"691",0.111666666666667
"692",0.133333333333333
"693",0.111666666666667
"694",0.135
"695",0.111666666666667
"696",0.135
"697",0.111666666666667
"698",0.135
"699",0.111666666666667
"700",0.135
"701",0.111666666666667
"702",0.135
"703",0.111666666666667
"704",0.135
"705",0.111666666666667
"706",0.135
"707",0.113333333333333
"708",0.136666666666667
"709",0.111666666666667
"710",0.135
"711",0.111666666666667
"712",0.135
"713",0.111666666666667
"714",0.135
"715",0.111666666666667
"716",0.135
"717",0.111666666666667
"718",0.135
"719",0.111666666666667
"720",0.135
"721",0.111666666666667
"722",0.135
"723",0.113333333333333
"724",0.136666666666667
"725",0.111666666666667
"726",0.135
"727",0.113333333333333
"728",0.136666666666667
"729",0.11
"730",0.133333333333333
"731",0.111666666666667
"732",0.135
"733",0.111666666666667
"734",0.135
"735",0.111666666666667
"736",0.135
