"","x"
"1",0
"2",0
"3",0.0466666666666667
"4",0.0466666666666667
"5",0.0466666666666667
"6",0
"7",0.0466666666666667
"8",0.0466666666666667
"9",0.0466666666666667
"10",0
"11",0.0483333333333333
"12",0.0466666666666667
"13",0
"14",0
"15",0.0466666666666667
"16",0
"17",0
"18",0.0466666666666667
"19",0.0466666666666667
"20",0
"21",0.0466666666666667
"22",0.045
"23",0.0466666666666667
"24",0.0516666666666667
"25",0.0483333333333333
"26",0
"27",0.0466666666666667
"28",0
"29",0.04
"30",0.0466666666666667
"31",0
"32",0
"33",0.0466666666666667
"34",0.0466666666666667
"35",0.0466666666666667
"36",0
"37",0.0466666666666667
"38",0.0466666666666667
"39",0.0466666666666667
"40",0
"41",0.0483333333333333
"42",0.0466666666666667
"43",0
"44",0
"45",0.0466666666666667
"46",0
"47",0
"48",0.0466666666666667
"49",0.0466666666666667
"50",0
"51",0.0466666666666667
"52",0.045
"53",0.0466666666666667
"54",0.0516666666666667
"55",0.0483333333333333
"56",0
"57",0.0466666666666667
"58",0
"59",0.04
"60",0.0466666666666667
"61",0.0466666666666667
"62",0.0466666666666667
"63",0
"64",0
"65",0.00333333333333333
"66",0.0466666666666667
"67",0.00333333333333333
"68",0
"69",0.00166666666666667
"70",0.0466666666666667
"71",0.00166666666666667
"72",0
"73",0.0466666666666667
"74",0.0466666666666667
"75",0
"76",0.0466666666666667
"77",0.0466666666666667
"78",0.00333333333333333
"79",0
"80",0.0466666666666667
"81",0
"82",0.005
"83",0.00333333333333333
"84",0.005
"85",0.00166666666666667
"86",0.0466666666666667
"87",0.00333333333333333
"88",0.0466666666666667
"89",0.0366666666666667
"90",0.00333333333333333
"91",0.0466666666666667
"92",0.0466666666666667
"93",0
"94",0
"95",0.00333333333333333
"96",0.0466666666666667
"97",0.00333333333333333
"98",0
"99",0.00166666666666667
"100",0.0466666666666667
"101",0.00166666666666667
"102",0
"103",0.0466666666666667
"104",0.0466666666666667
"105",0
"106",0.0466666666666667
"107",0.0466666666666667
"108",0.00333333333333333
"109",0
"110",0.0466666666666667
"111",0
"112",0.005
"113",0.00333333333333333
"114",0.005
"115",0.00166666666666667
"116",0.0466666666666667
"117",0.00333333333333333
