"","x"
"1",0.09
"2",0.09
"3",0.09
"4",0.09
"5",0.09
"6",0.09
"7",0.09
"8",0.09
"9",0.09
"10",0.0916666666666667
"11",0.09
"12",0.09
"13",0.09
"14",0.09
"15",0.09
"16",0.09
"17",0.09
"18",0.0883333333333333
"19",0.0883333333333333
"20",0.09
"21",0.09
"22",0.09
"23",0.09
"24",0.09
"25",0.09
"26",0.0883333333333333
"27",0.09
"28",0.09
"29",0.09
"30",0.09
"31",0.09
"32",0.09
"33",0.09
"34",0.09
"35",0.09
"36",0.09
"37",0.09
"38",0.0883333333333333
"39",0.09
"40",0.09
"41",0.09
"42",0.0883333333333333
"43",0.09
"44",0.09
"45",0.09
"46",0.09
"47",0.09
"48",0.09
"49",0.09
"50",0.0916666666666667
"51",0.09
"52",0.09
"53",0.09
"54",0.09
"55",0.09
"56",0.09
"57",0.09
"58",0.09
"59",0.09
"60",0.0883333333333333
"61",0.09
"62",0.0883333333333333
"63",0.09
"64",0.09
"65",0.09
"66",0.09
"67",0.09
"68",0.09
"69",0.09
"70",0.09
"71",0.09
"72",0.0916666666666667
"73",0.09
"74",0.09
"75",0.09
"76",0.0883333333333333
"77",0.09
"78",0.09
"79",0.0916666666666667
"80",0.09
"81",0.09
"82",0.09
"83",0.09
"84",0.09
"85",0.09
"86",0.09
"87",0.09
"88",0.09
"89",0.09
"90",0.09
"91",0.09
"92",0.09
"93",0.09
"94",0.09
"95",0.09
"96",0.09
"97",0.09
"98",0.09
"99",0.09
"100",0.09
"101",0.09
"102",0.09
"103",0.09
"104",0.0916666666666667
"105",0.0883333333333333
"106",0.09
"107",0.09
"108",0.09
"109",0.0883333333333333
"110",0.09
"111",0.0883333333333333
"112",0.0916666666666667
"113",0.09
"114",0.09
"115",0.0933333333333333
"116",0.0916666666666667
"117",0.0933333333333333
"118",0.09
"119",0.09
"120",0.09
"121",0.09
"122",0.09
"123",0.09
"124",0.09
"125",0.09
"126",0.09
"127",0.09
"128",0.09
"129",0.09
"130",0.09
"131",0.09
"132",0.09
"133",0.09
"134",0.09
"135",0.09
"136",0.09
"137",0.09
"138",0.09
"139",0.09
"140",0.0883333333333333
"141",0.09
"142",0.0883333333333333
"143",0.09
"144",0.09
"145",0.09
"146",0.09
"147",0.09
"148",0.09
"149",0.09
"150",0.09
"151",0.09
"152",0.09
"153",0.09
"154",0.09
"155",0.09
"156",0.09
"157",0.09
"158",0.09
"159",0.09
"160",0.0883333333333333
"161",0.09
"162",0.09
"163",0.09
"164",0.0916666666666667
"165",0.09
"166",0.0916666666666667
"167",0.09
"168",0.09
"169",0.0933333333333333
"170",0.09
"171",0.09
"172",0.09
"173",0.09
"174",0.09
"175",0.09
"176",0.09
"177",0.09
"178",0.0916666666666667
"179",0.0883333333333333
"180",0.09
"181",0.09
"182",0.0916666666666667
"183",0.0916666666666667
"184",0.0916666666666667
"185",0.09
"186",0.09
"187",0.09
"188",0.09
"189",0.09
"190",0.09
"191",0.09
"192",0.09
"193",0.09
"194",0.09
"195",0.09
"196",0.09
"197",0.0916666666666667
"198",0.09
"199",0.09
"200",0.09
"201",0.09
"202",0.0916666666666667
"203",0.09
"204",0.0916666666666667
"205",0.0883333333333333
"206",0.09
"207",0.0883333333333333
"208",0.09
"209",0.09
"210",0.0883333333333333
"211",0.09
"212",0.09
"213",0.09
"214",0.09
"215",0.09
"216",0.09
"217",0.09
"218",0.0883333333333333
"219",0.0883333333333333
"220",0.09
"221",0.09
"222",0.09
"223",0.09
"224",0.09
"225",0.09
"226",0.09
"227",0.09
"228",0.09
"229",0.09
"230",0.09
"231",0.09
"232",0.09
"233",0.09
"234",0.09
"235",0.09
"236",0.09
"237",0.09
"238",0.09
"239",0.0916666666666667
"240",0.09
"241",0.0916666666666667
"242",0.0916666666666667
"243",0.09
"244",0.09
"245",0.09
"246",0.09
"247",0.09
"248",0.09
"249",0.09
"250",0.09
"251",0.09
"252",0.09
"253",0.0916666666666667
"254",0.09
"255",0.0883333333333333
"256",0.09
"257",0.0916666666666667
"258",0.09
"259",0.09
"260",0.09
"261",0.09
"262",0.09
"263",0.09
"264",0.0916666666666667
"265",0.09
"266",0.09
"267",0.0916666666666667
"268",0.09
"269",0.09
"270",0.09
"271",0.09
"272",0.09
"273",0.09
"274",0.09
"275",0.09
"276",0.0916666666666667
"277",0.0916666666666667
"278",0.0883333333333333
"279",0.09
"280",0.09
"281",0.09
"282",0.09
"283",0.09
"284",0.09
"285",0.09
"286",0.0916666666666667
"287",0.09
"288",0.09
"289",0.09
"290",0.09
"291",0.09
"292",0.09
"293",0.09
"294",0.0916666666666667
"295",0.09
"296",0.09
"297",0.0916666666666667
"298",0.09
"299",0.09
"300",0.09
"301",0.09
"302",0.09
"303",0.09
"304",0.09
"305",0.0916666666666667
"306",0.0916666666666667
"307",0.09
"308",0.09
"309",0.0916666666666667
"310",0.09
"311",0.0916666666666667
"312",0.09
"313",0.09
"314",0.09
"315",0.09
"316",0.09
"317",0.0916666666666667
"318",0.09
"319",0.09
"320",0.09
"321",0.09
"322",0.09
"323",0.09
"324",0.0916666666666667
"325",0.09
"326",0.0916666666666667
"327",0.09
"328",0.0916666666666667
"329",0.0916666666666667
"330",0.09
"331",0.09
"332",0.09
"333",0.09
"334",0.09
"335",0.09
"336",0.09
"337",0.09
"338",0.09
"339",0.09
"340",0.09
"341",0.09
"342",0.09
"343",0.09
"344",0.09
"345",0.0916666666666667
"346",0.0916666666666667
"347",0.09
"348",0.09
"349",0.09
"350",0.09
"351",0.09
"352",0.09
"353",0.0916666666666667
"354",0.09
"355",0.09
"356",0.0916666666666667
"357",0.09
"358",0.09
"359",0.09
"360",0.09
"361",0.0916666666666667
"362",0.09
"363",0.0916666666666667
"364",0.09
"365",0.0916666666666667
"366",0.09
"367",0.09
"368",0.09
"369",0.09
"370",0.09
"371",0.09
"372",0.0916666666666667
"373",0.09
"374",0.0883333333333333
"375",0.09
"376",0.0916666666666667
"377",0.0916666666666667
"378",0.09
"379",0.09
"380",0.0933333333333333
"381",0.09
"382",0.09
"383",0.09
"384",0.0916666666666667
"385",0.09
"386",0.0916666666666667
"387",0.0916666666666667
"388",0.09
"389",0.09
"390",0.09
"391",0.09
"392",0.09
"393",0.09
"394",0.09
"395",0.0916666666666667
"396",0.09
"397",0.0916666666666667
"398",0.09
"399",0.0916666666666667
"400",0.09
"401",0.09
"402",0.09
"403",0.09
"404",0.09
"405",0.09
"406",0.09
"407",0.0916666666666667
"408",0.0916666666666667
"409",0.0916666666666667
"410",0.09
"411",0.09
"412",0.09
"413",0.09
"414",0.09
"415",0.0916666666666667
"416",0.09
"417",0.09
"418",0.09
"419",0.09
"420",0.09
"421",0.09
"422",0.09
"423",0.0916666666666667
"424",0.0916666666666667
"425",0.0916666666666667
"426",0.0916666666666667
"427",0.09
"428",0.09
"429",0.09
"430",0.09
"431",0.09
"432",0.0916666666666667
"433",0.09
"434",0.09
"435",0.0916666666666667
"436",0.09
"437",0.09
"438",0.09
"439",0.0916666666666667
"440",0.09
"441",0.09
"442",0.09
"443",0.09
"444",0.0916666666666667
