"","x"
"1",0.095
"2",0.095
"3",0.095
"4",0.095
"5",0.0933333333333333
"6",0.095
"7",0.095
"8",0.095
"9",0.095
"10",0.095
"11",0.0933333333333333
"12",0.095
"13",0.0916666666666667
"14",0.0916666666666667
"15",0.0916666666666667
"16",0.0916666666666667
"17",0.09
"18",0.0916666666666667
"19",0.0933333333333333
"20",0.0933333333333333
"21",0.0933333333333333
"22",0.0933333333333333
"23",0.0916666666666667
"24",0.0933333333333333
"25",0.0933333333333333
"26",0.0933333333333333
"27",0.0933333333333333
"28",0.0933333333333333
"29",0.0916666666666667
"30",0.0933333333333333
"31",0.0933333333333333
"32",0.0933333333333333
"33",0.0933333333333333
"34",0.0933333333333333
"35",0.0916666666666667
"36",0.0933333333333333
"37",0.095
"38",0.095
"39",0.095
"40",0.095
"41",0.0933333333333333
"42",0.095
"43",0.0933333333333333
"44",0.0933333333333333
"45",0.0933333333333333
"46",0.0933333333333333
"47",0.0916666666666667
"48",0.0933333333333333
"49",0.0933333333333333
"50",0.0933333333333333
"51",0.0933333333333333
"52",0.0933333333333333
"53",0.0916666666666667
"54",0.0933333333333333
"55",0.095
"56",0.095
"57",0.095
"58",0.095
"59",0.0933333333333333
"60",0.095
"61",0.095
"62",0.095
"63",0.095
"64",0.095
"65",0.0933333333333333
"66",0.095
"67",0.095
"68",0.095
"69",0.095
"70",0.095
"71",0.0933333333333333
"72",0.095
"73",0.095
"74",0.095
"75",0.095
"76",0.095
"77",0.0933333333333333
"78",0.095
"79",0.095
"80",0.095
"81",0.095
"82",0.095
"83",0.0933333333333333
"84",0.095
"85",0.095
"86",0.095
"87",0.095
"88",0.095
"89",0.0933333333333333
"90",0.095
"91",0.095
"92",0.095
"93",0.095
"94",0.095
"95",0.0933333333333333
"96",0.095
"97",0.095
"98",0.095
"99",0.095
"100",0.095
"101",0.0933333333333333
"102",0.095
"103",0.095
"104",0.095
"105",0.095
"106",0.095
"107",0.0933333333333333
"108",0.095
"109",0.095
"110",0.095
"111",0.095
"112",0.095
"113",0.0933333333333333
"114",0.095
"115",0.0933333333333333
"116",0.0933333333333333
"117",0.0933333333333333
"118",0.0933333333333333
"119",0.0916666666666667
"120",0.0933333333333333
"121",0.095
"122",0.095
"123",0.095
"124",0.095
"125",0.0933333333333333
"126",0.095
"127",0.095
"128",0.095
"129",0.095
"130",0.095
"131",0.0933333333333333
"132",0.095
"133",0.095
"134",0.095
"135",0.095
"136",0.095
"137",0.0933333333333333
"138",0.095
"139",0.07
"140",0.07
"141",0.07
"142",0.07
"143",0.0683333333333333
"144",0.07
"145",0.07
"146",0.07
"147",0.07
"148",0.07
"149",0.0683333333333333
"150",0.07
"151",0.07
"152",0.07
"153",0.07
"154",0.07
"155",0.0683333333333333
"156",0.07
"157",0.118333333333333
"158",0.118333333333333
"159",0.118333333333333
"160",0.118333333333333
"161",0.118333333333333
"162",0.118333333333333
"163",0.133333333333333
"164",0.133333333333333
"165",0.133333333333333
"166",0.133333333333333
"167",0.133333333333333
"168",0.133333333333333
"169",0.121666666666667
"170",0.121666666666667
"171",0.121666666666667
"172",0.121666666666667
"173",0.121666666666667
"174",0.121666666666667
"175",0.123333333333333
"176",0.123333333333333
"177",0.123333333333333
"178",0.123333333333333
"179",0.123333333333333
"180",0.123333333333333
"181",0.101666666666667
"182",0.101666666666667
"183",0.101666666666667
"184",0.101666666666667
"185",0.103333333333333
"186",0.101666666666667
"187",0.135
"188",0.135
"189",0.135
"190",0.135
"191",0.136666666666667
"192",0.135
"193",0.135
"194",0.135
"195",0.135
"196",0.135
"197",0.136666666666667
"198",0.135
"199",0.136666666666667
"200",0.136666666666667
"201",0.136666666666667
"202",0.136666666666667
"203",0.136666666666667
"204",0.136666666666667
"205",0.136666666666667
"206",0.136666666666667
"207",0.136666666666667
"208",0.136666666666667
"209",0.138333333333333
"210",0.136666666666667
"211",0.135
"212",0.135
"213",0.135
"214",0.135
"215",0.136666666666667
"216",0.135
"217",0.136666666666667
"218",0.136666666666667
"219",0.136666666666667
"220",0.136666666666667
"221",0.136666666666667
"222",0.136666666666667
"223",0.135
"224",0.135
"225",0.135
"226",0.135
"227",0.136666666666667
"228",0.135
"229",0.136666666666667
"230",0.136666666666667
"231",0.136666666666667
"232",0.136666666666667
"233",0.138333333333333
"234",0.136666666666667
"235",0.136666666666667
"236",0.136666666666667
"237",0.136666666666667
"238",0.136666666666667
"239",0.138333333333333
"240",0.136666666666667
"241",0.135
"242",0.135
"243",0.135
"244",0.135
"245",0.136666666666667
"246",0.135
"247",0.136666666666667
"248",0.136666666666667
"249",0.136666666666667
"250",0.136666666666667
"251",0.136666666666667
"252",0.136666666666667
"253",0.11
"254",0.11
"255",0.11
"256",0.11
"257",0.108333333333333
"258",0.11
"259",0.11
"260",0.11
"261",0.11
"262",0.11
"263",0.108333333333333
"264",0.11
"265",0.111666666666667
"266",0.111666666666667
"267",0.111666666666667
"268",0.111666666666667
"269",0.11
"270",0.111666666666667
"271",0.12
"272",0.12
"273",0.12
"274",0.12
"275",0.12
"276",0.12
"277",0.0533333333333333
"278",0.0533333333333333
"279",0.0533333333333333
"280",0.0533333333333333
"281",0.0516666666666667
"282",0.0533333333333333
"283",0.101666666666667
"284",0.101666666666667
"285",0.101666666666667
"286",0.101666666666667
"287",0.103333333333333
"288",0.101666666666667
"289",0.0533333333333333
"290",0.0533333333333333
"291",0.0533333333333333
"292",0.0533333333333333
"293",0.0516666666666667
"294",0.0533333333333333
"295",0.0533333333333333
"296",0.0533333333333333
"297",0.0533333333333333
"298",0.0533333333333333
"299",0.0516666666666667
"300",0.0533333333333333
"301",0.06
"302",0.06
"303",0.06
"304",0.06
"305",0.0583333333333333
"306",0.06
"307",0.06
"308",0.06
"309",0.06
"310",0.06
"311",0.0583333333333333
"312",0.06
"313",0.06
"314",0.06
"315",0.06
"316",0.06
"317",0.0583333333333333
"318",0.06
"319",0.0533333333333333
"320",0.0533333333333333
"321",0.0533333333333333
"322",0.0533333333333333
"323",0.0516666666666667
"324",0.0533333333333333
"325",0.06
"326",0.06
"327",0.06
"328",0.06
"329",0.0583333333333333
"330",0.06
"331",0.06
"332",0.06
"333",0.06
"334",0.06
"335",0.0583333333333333
"336",0.06
"337",0.0583333333333333
"338",0.0583333333333333
"339",0.0583333333333333
"340",0.0583333333333333
"341",0.0566666666666667
"342",0.0583333333333333
"343",0.0533333333333333
"344",0.0533333333333333
"345",0.0533333333333333
"346",0.0533333333333333
"347",0.0516666666666667
"348",0.0533333333333333
"349",0.0616666666666667
"350",0.0616666666666667
"351",0.0616666666666667
"352",0.0616666666666667
"353",0.06
"354",0.0616666666666667
"355",0.06
"356",0.06
"357",0.06
"358",0.06
"359",0.0583333333333333
"360",0.06
"361",0.0533333333333333
"362",0.0533333333333333
"363",0.0533333333333333
"364",0.0533333333333333
"365",0.0516666666666667
"366",0.0533333333333333
"367",0.0533333333333333
"368",0.0533333333333333
"369",0.0533333333333333
"370",0.0533333333333333
"371",0.0516666666666667
"372",0.0533333333333333
"373",0.06
"374",0.06
"375",0.06
"376",0.06
"377",0.0583333333333333
"378",0.06
"379",0.0533333333333333
"380",0.0533333333333333
"381",0.0533333333333333
"382",0.0533333333333333
"383",0.0516666666666667
"384",0.0533333333333333
"385",0.0533333333333333
"386",0.0533333333333333
"387",0.0533333333333333
"388",0.0533333333333333
"389",0.0516666666666667
"390",0.0533333333333333
"391",0.06
"392",0.06
"393",0.06
"394",0.06
"395",0.0583333333333333
"396",0.06
"397",0.06
"398",0.06
"399",0.06
"400",0.06
"401",0.0583333333333333
"402",0.06
"403",0.0533333333333333
"404",0.0533333333333333
"405",0.0533333333333333
"406",0.0533333333333333
"407",0.0516666666666667
"408",0.0533333333333333
"409",0.06
"410",0.06
"411",0.06
"412",0.06
"413",0.0583333333333333
"414",0.06
"415",0.0583333333333333
"416",0.0583333333333333
"417",0.0583333333333333
"418",0.0583333333333333
"419",0.0566666666666667
"420",0.0583333333333333
"421",0.06
"422",0.06
"423",0.06
"424",0.06
"425",0.0583333333333333
"426",0.06
"427",0.065
"428",0.065
"429",0.065
"430",0.065
"431",0.0633333333333333
"432",0.065
"433",0.0616666666666667
"434",0.0616666666666667
"435",0.0616666666666667
"436",0.0616666666666667
"437",0.06
"438",0.0616666666666667
"439",0.0533333333333333
"440",0.0533333333333333
"441",0.0533333333333333
"442",0.0533333333333333
"443",0.0516666666666667
"444",0.0533333333333333
"445",0.06
"446",0.06
"447",0.06
"448",0.06
"449",0.0583333333333333
"450",0.06
"451",0.0533333333333333
"452",0.0533333333333333
"453",0.0533333333333333
"454",0.0533333333333333
"455",0.0516666666666667
"456",0.0533333333333333
"457",0.06
"458",0.06
"459",0.06
"460",0.06
"461",0.0583333333333333
"462",0.06
"463",0.06
"464",0.06
"465",0.06
"466",0.06
"467",0.0583333333333333
"468",0.06
"469",0.0566666666666667
"470",0.0566666666666667
"471",0.0566666666666667
"472",0.0566666666666667
"473",0.055
"474",0.0566666666666667
"475",0.0566666666666667
"476",0.0566666666666667
"477",0.0566666666666667
"478",0.0566666666666667
"479",0.055
"480",0.0566666666666667
"481",0.0566666666666667
"482",0.0566666666666667
"483",0.0566666666666667
"484",0.0566666666666667
"485",0.055
"486",0.0566666666666667
"487",0.0983333333333333
"488",0.0983333333333333
"489",0.0983333333333333
"490",0.0983333333333333
"491",0.0966666666666667
"492",0.0983333333333333
"493",0.0983333333333333
"494",0.0983333333333333
"495",0.0983333333333333
"496",0.0983333333333333
"497",0.0966666666666667
"498",0.0983333333333333
"499",0.0983333333333333
"500",0.0983333333333333
"501",0.0983333333333333
"502",0.0983333333333333
"503",0.0966666666666667
"504",0.0983333333333333
"505",0.0983333333333333
"506",0.0983333333333333
"507",0.0983333333333333
"508",0.0983333333333333
"509",0.0966666666666667
"510",0.0983333333333333
"511",0.1
"512",0.1
"513",0.1
"514",0.1
"515",0.0983333333333333
"516",0.1
"517",0.0983333333333333
"518",0.0983333333333333
"519",0.0983333333333333
"520",0.0983333333333333
"521",0.0966666666666667
"522",0.0983333333333333
"523",0.0983333333333333
"524",0.0983333333333333
"525",0.0983333333333333
"526",0.0983333333333333
"527",0.0966666666666667
"528",0.0983333333333333
"529",0.0983333333333333
"530",0.0983333333333333
"531",0.0983333333333333
"532",0.0983333333333333
"533",0.0966666666666667
"534",0.0983333333333333
"535",0.0983333333333333
"536",0.0983333333333333
"537",0.0983333333333333
"538",0.0983333333333333
"539",0.0966666666666667
"540",0.0983333333333333
"541",0.1
"542",0.1
"543",0.1
"544",0.1
"545",0.0983333333333333
"546",0.1
"547",0.0983333333333333
"548",0.0983333333333333
"549",0.0983333333333333
"550",0.0983333333333333
"551",0.0966666666666667
"552",0.0983333333333333
"553",0.0983333333333333
"554",0.0983333333333333
"555",0.0983333333333333
"556",0.0983333333333333
"557",0.0966666666666667
"558",0.0983333333333333
"559",0.0983333333333333
"560",0.0983333333333333
"561",0.0983333333333333
"562",0.0983333333333333
"563",0.0966666666666667
"564",0.0983333333333333
"565",0.0983333333333333
"566",0.0983333333333333
"567",0.0983333333333333
"568",0.0983333333333333
"569",0.0966666666666667
"570",0.0983333333333333
"571",0.0983333333333333
"572",0.0983333333333333
"573",0.0983333333333333
"574",0.0983333333333333
"575",0.0966666666666667
"576",0.0983333333333333
"577",0.0983333333333333
"578",0.0983333333333333
"579",0.0983333333333333
"580",0.0983333333333333
"581",0.0966666666666667
"582",0.0983333333333333
"583",0.0983333333333333
"584",0.0983333333333333
"585",0.0983333333333333
"586",0.0983333333333333
"587",0.0966666666666667
"588",0.0983333333333333
"589",0.1
"590",0.1
"591",0.1
"592",0.1
"593",0.0983333333333333
"594",0.1
"595",0.0966666666666667
"596",0.0966666666666667
"597",0.0966666666666667
"598",0.0966666666666667
"599",0.095
"600",0.0966666666666667
"601",0.0983333333333333
"602",0.0983333333333333
"603",0.0983333333333333
"604",0.0983333333333333
"605",0.0966666666666667
"606",0.0983333333333333
"607",0.0983333333333333
"608",0.0983333333333333
"609",0.0983333333333333
"610",0.0983333333333333
"611",0.0966666666666667
"612",0.0983333333333333
"613",0.0983333333333333
"614",0.0983333333333333
"615",0.0983333333333333
"616",0.0983333333333333
"617",0.0966666666666667
"618",0.0983333333333333
"619",0.0983333333333333
"620",0.0983333333333333
"621",0.0983333333333333
"622",0.0983333333333333
"623",0.0966666666666667
"624",0.0983333333333333
"625",0.0983333333333333
"626",0.0983333333333333
"627",0.0983333333333333
"628",0.0983333333333333
"629",0.0966666666666667
"630",0.0983333333333333
"631",0.0983333333333333
"632",0.0983333333333333
"633",0.0983333333333333
"634",0.0983333333333333
"635",0.0966666666666667
"636",0.0983333333333333
"637",0.0966666666666667
"638",0.0966666666666667
"639",0.0966666666666667
"640",0.0966666666666667
"641",0.095
"642",0.0966666666666667
"643",0.0983333333333333
"644",0.0983333333333333
"645",0.0983333333333333
"646",0.0983333333333333
"647",0.0966666666666667
"648",0.0983333333333333
"649",0.0983333333333333
"650",0.0983333333333333
"651",0.0983333333333333
"652",0.0983333333333333
"653",0.0966666666666667
"654",0.0983333333333333
"655",0.0983333333333333
"656",0.0983333333333333
"657",0.0983333333333333
"658",0.0983333333333333
"659",0.0966666666666667
"660",0.0983333333333333
"661",0.0983333333333333
"662",0.0983333333333333
"663",0.0983333333333333
"664",0.0983333333333333
"665",0.0966666666666667
"666",0.0983333333333333
"667",0.0983333333333333
"668",0.0983333333333333
"669",0.0983333333333333
"670",0.0983333333333333
"671",0.0966666666666667
"672",0.0983333333333333
"673",0.0983333333333333
"674",0.0983333333333333
"675",0.0983333333333333
"676",0.0983333333333333
"677",0.0966666666666667
"678",0.0983333333333333
"679",0.0983333333333333
"680",0.0983333333333333
"681",0.0983333333333333
"682",0.0983333333333333
"683",0.0966666666666667
"684",0.0983333333333333
"685",0.0983333333333333
"686",0.0983333333333333
"687",0.0983333333333333
"688",0.0983333333333333
"689",0.0966666666666667
"690",0.0983333333333333
"691",0.0983333333333333
"692",0.0983333333333333
"693",0.0983333333333333
"694",0.0983333333333333
"695",0.0966666666666667
"696",0.0983333333333333
