"","x"
"1",0.121666666666667
"2",0.118333333333333
"3",0.12
"4",0.12
"5",0.12
"6",0.12
"7",0.12
"8",0.12
"9",0.12
"10",0.12
"11",0.118333333333333
"12",0.12
"13",0.12
"14",0.12
"15",0.12
"16",0.12
"17",0.12
"18",0.12
"19",0.12
"20",0.12
"21",0.12
"22",0.12
"23",0.12
"24",0.118333333333333
"25",0.12
"26",0.12
"27",0.12
"28",0.12
"29",0.12
"30",0.121666666666667
"31",0.12
"32",0.12
"33",0.12
"34",0.12
"35",0.12
"36",0.12
"37",0.12
"38",0.12
"39",0.12
"40",0.12
"41",0.121666666666667
"42",0.12
"43",0.12
"44",0.12
"45",0.12
"46",0.12
"47",0.12
"48",0.12
"49",0.121666666666667
"50",0.12
"51",0.12
"52",0.12
"53",0.121666666666667
"54",0.12
"55",0.12
"56",0.12
"57",0.12
"58",0.118333333333333
"59",0.12
"60",0.12
"61",0.12
"62",0.12
"63",0.12
"64",0.12
"65",0.12
"66",0.12
"67",0.12
"68",0.12
"69",0.121666666666667
"70",0.12
"71",0.12
"72",0.121666666666667
"73",0.118333333333333
"74",0.12
"75",0.12
"76",0.12
"77",0.12
"78",0.12
"79",0.12
"80",0.12
"81",0.12
"82",0.118333333333333
"83",0.12
"84",0.12
"85",0.12
"86",0.12
"87",0.12
"88",0.12
"89",0.12
"90",0.12
"91",0.12
"92",0.12
"93",0.12
"94",0.12
"95",0.118333333333333
"96",0.12
"97",0.12
"98",0.12
"99",0.12
"100",0.12
"101",0.121666666666667
"102",0.12
"103",0.12
"104",0.12
"105",0.12
"106",0.12
"107",0.12
"108",0.12
"109",0.12
"110",0.12
"111",0.12
"112",0.121666666666667
"113",0.12
"114",0.12
"115",0.12
"116",0.12
"117",0.12
"118",0.12
"119",0.12
"120",0.121666666666667
"121",0.12
"122",0.12
"123",0.12
"124",0.121666666666667
"125",0.12
"126",0.12
"127",0.12
"128",0.12
"129",0.118333333333333
"130",0.12
"131",0.12
"132",0.12
"133",0.12
"134",0.12
"135",0.12
"136",0.12
"137",0.12
"138",0.12
"139",0.12
"140",0.121666666666667
"141",0.12
"142",0.12
"143",0.118333333333333
"144",0.115
"145",0.116666666666667
"146",0.116666666666667
"147",0.116666666666667
"148",0.116666666666667
"149",0.116666666666667
"150",0.116666666666667
"151",0.116666666666667
"152",0.116666666666667
"153",0.115
"154",0.116666666666667
"155",0.116666666666667
"156",0.116666666666667
"157",0.116666666666667
"158",0.116666666666667
"159",0.116666666666667
"160",0.116666666666667
"161",0.116666666666667
"162",0.116666666666667
"163",0.116666666666667
"164",0.116666666666667
"165",0.116666666666667
"166",0.115
"167",0.116666666666667
"168",0.116666666666667
"169",0.116666666666667
"170",0.116666666666667
"171",0.116666666666667
"172",0.118333333333333
"173",0.116666666666667
"174",0.116666666666667
"175",0.116666666666667
"176",0.116666666666667
"177",0.116666666666667
"178",0.116666666666667
"179",0.116666666666667
"180",0.116666666666667
"181",0.116666666666667
"182",0.116666666666667
"183",0.118333333333333
"184",0.116666666666667
"185",0.116666666666667
"186",0.116666666666667
"187",0.116666666666667
"188",0.116666666666667
"189",0.116666666666667
"190",0.116666666666667
"191",0.118333333333333
"192",0.116666666666667
"193",0.116666666666667
"194",0.116666666666667
"195",0.118333333333333
"196",0.116666666666667
"197",0.116666666666667
"198",0.116666666666667
"199",0.116666666666667
"200",0.115
"201",0.116666666666667
"202",0.116666666666667
"203",0.116666666666667
"204",0.116666666666667
"205",0.116666666666667
"206",0.116666666666667
"207",0.116666666666667
"208",0.116666666666667
"209",0.116666666666667
"210",0.116666666666667
"211",0.118333333333333
"212",0.116666666666667
"213",0.116666666666667
"214",0.12
"215",0.116666666666667
"216",0.118333333333333
"217",0.118333333333333
"218",0.118333333333333
"219",0.118333333333333
"220",0.118333333333333
"221",0.118333333333333
"222",0.118333333333333
"223",0.118333333333333
"224",0.116666666666667
"225",0.118333333333333
"226",0.118333333333333
"227",0.118333333333333
"228",0.118333333333333
"229",0.118333333333333
"230",0.118333333333333
"231",0.118333333333333
"232",0.118333333333333
"233",0.118333333333333
"234",0.118333333333333
"235",0.118333333333333
"236",0.118333333333333
"237",0.116666666666667
"238",0.118333333333333
"239",0.118333333333333
"240",0.118333333333333
"241",0.118333333333333
"242",0.118333333333333
"243",0.12
"244",0.118333333333333
"245",0.118333333333333
"246",0.118333333333333
"247",0.118333333333333
"248",0.118333333333333
"249",0.118333333333333
"250",0.118333333333333
"251",0.118333333333333
"252",0.118333333333333
"253",0.118333333333333
"254",0.12
"255",0.118333333333333
"256",0.118333333333333
"257",0.118333333333333
"258",0.118333333333333
"259",0.118333333333333
"260",0.118333333333333
"261",0.118333333333333
"262",0.12
"263",0.118333333333333
"264",0.118333333333333
"265",0.118333333333333
"266",0.12
"267",0.118333333333333
"268",0.118333333333333
"269",0.118333333333333
"270",0.118333333333333
"271",0.116666666666667
"272",0.118333333333333
"273",0.118333333333333
"274",0.118333333333333
"275",0.118333333333333
"276",0.118333333333333
"277",0.118333333333333
"278",0.118333333333333
"279",0.118333333333333
"280",0.118333333333333
"281",0.118333333333333
"282",0.12
"283",0.118333333333333
"284",0.118333333333333
"285",0.12
"286",0.116666666666667
"287",0.118333333333333
"288",0.118333333333333
"289",0.118333333333333
"290",0.118333333333333
"291",0.118333333333333
"292",0.118333333333333
"293",0.118333333333333
"294",0.118333333333333
"295",0.116666666666667
"296",0.118333333333333
"297",0.118333333333333
"298",0.118333333333333
"299",0.118333333333333
"300",0.118333333333333
"301",0.118333333333333
"302",0.118333333333333
"303",0.118333333333333
"304",0.118333333333333
"305",0.118333333333333
"306",0.118333333333333
"307",0.118333333333333
"308",0.116666666666667
"309",0.118333333333333
"310",0.118333333333333
"311",0.118333333333333
"312",0.118333333333333
"313",0.118333333333333
"314",0.12
"315",0.118333333333333
"316",0.118333333333333
"317",0.118333333333333
