"","x"
"1",0.115
"2",0.115
"3",0.115
"4",0.115
"5",0.115
"6",0.115
"7",0.113333333333333
"8",0.113333333333333
"9",0.113333333333333
"10",0.113333333333333
"11",0.113333333333333
"12",0.113333333333333
"13",0.115
"14",0.115
"15",0.113333333333333
"16",0.113333333333333
"17",0.113333333333333
"18",0.113333333333333
"19",0.115
"20",0.115
"21",0.115
"22",0.115
"23",0.115
"24",0.115
"25",0.115
"26",0.115
"27",0.115
"28",0.115
"29",0.115
"30",0.115
"31",0.115
"32",0.115
"33",0.115
"34",0.115
"35",0.115
"36",0.115
"37",0.115
"38",0.115
"39",0.113333333333333
"40",0.113333333333333
"41",0.115
"42",0.115
"43",0.115
"44",0.115
"45",0.115
"46",0.115
"47",0.0733333333333333
"48",0.0733333333333333
"49",0.0733333333333333
"50",0.0733333333333333
"51",0.0733333333333333
"52",0.0733333333333333
"53",0.118333333333333
"54",0.118333333333333
"55",0.12
"56",0.12
"57",0.12
"58",0.12
"59",0.121666666666667
"60",0.121666666666667
"61",0.11
"62",0.11
"63",0.145
"64",0.145
"65",0.145
"66",0.145
"67",0.143333333333333
"68",0.143333333333333
"69",0.141666666666667
"70",0.141666666666667
"71",0.145
"72",0.145
"73",0.143333333333333
"74",0.143333333333333
"75",0.145
"76",0.145
"77",0.141666666666667
"78",0.141666666666667
"79",0.141666666666667
"80",0.141666666666667
"81",0.145
"82",0.145
"83",0.143333333333333
"84",0.143333333333333
"85",0.111666666666667
"86",0.111666666666667
"87",0.108333333333333
"88",0.108333333333333
"89",0.11
"90",0.11
"91",0.12
"92",0.12
"93",0.0583333333333333
"94",0.0583333333333333
"95",0.11
"96",0.11
"97",0.0566666666666667
"98",0.0566666666666667
"99",0.0566666666666667
"100",0.0566666666666667
"101",0.0633333333333333
"102",0.0633333333333333
"103",0.0633333333333333
"104",0.0633333333333333
"105",0.0633333333333333
"106",0.0633333333333333
"107",0.0566666666666667
"108",0.0566666666666667
"109",0.0633333333333333
"110",0.0633333333333333
"111",0.0633333333333333
"112",0.0633333333333333
"113",0.0616666666666667
"114",0.0616666666666667
"115",0.0566666666666667
"116",0.0566666666666667
"117",0.065
"118",0.065
"119",0.0633333333333333
"120",0.0633333333333333
"121",0.0566666666666667
"122",0.0566666666666667
"123",0.0566666666666667
"124",0.0566666666666667
"125",0.0633333333333333
"126",0.0633333333333333
