"","x"
"1",0
"2",0.00333333333333333
"3",0.00333333333333333
"4",0.00333333333333333
"5",0.00333333333333333
"6",0.00333333333333333
"7",0.00333333333333333
"8",0.005
"9",0.00333333333333333
"10",0.0316666666666667
"11",0.0316666666666667
"12",0.0333333333333333
"13",0.00333333333333333
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0.00333333333333333
"20",0.00166666666666667
"21",0
"22",0.0333333333333333
"23",0.0333333333333333
"24",0.035
"25",0.00333333333333333
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0.00333333333333333
"32",0.00166666666666667
"33",0
"34",0.0333333333333333
"35",0.0333333333333333
"36",0.035
"37",0.00333333333333333
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0.00333333333333333
"44",0.00166666666666667
"45",0
"46",0.0333333333333333
"47",0.0333333333333333
"48",0.035
"49",0.00333333333333333
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0.00333333333333333
"56",0.00166666666666667
"57",0
"58",0.0333333333333333
"59",0.0333333333333333
"60",0.035
"61",0.00333333333333333
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0.00333333333333333
"68",0.00166666666666667
"69",0
"70",0.0333333333333333
"71",0.0333333333333333
"72",0.035
"73",0.00333333333333333
"74",0.00333333333333333
"75",0.00333333333333333
"76",0.00333333333333333
"77",0.00333333333333333
"78",0.00333333333333333
"79",0
"80",0.005
"81",0.00333333333333333
"82",0.0333333333333333
"83",0.0333333333333333
"84",0.035
"85",0.005
"86",0.00166666666666667
"87",0.00166666666666667
"88",0.00166666666666667
"89",0.00166666666666667
"90",0.00166666666666667
"91",0.005
"92",0
"93",0.00166666666666667
"94",0.0316666666666667
"95",0.0316666666666667
"96",0.0333333333333333
"97",0.00333333333333333
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0.00333333333333333
"104",0.00166666666666667
"105",0
"106",0.0333333333333333
"107",0.0333333333333333
"108",0.035
"109",0.0316666666666667
"110",0.0333333333333333
"111",0.0333333333333333
"112",0.0333333333333333
"113",0.0333333333333333
"114",0.0333333333333333
"115",0.0333333333333333
"116",0.0316666666666667
"117",0.0333333333333333
"118",0
"119",0.00333333333333333
"120",0.00166666666666667
"121",0.0316666666666667
"122",0.0333333333333333
"123",0.0333333333333333
"124",0.0333333333333333
"125",0.0333333333333333
"126",0.0333333333333333
"127",0.0333333333333333
"128",0.0316666666666667
"129",0.0333333333333333
"130",0.00333333333333333
"131",0
"132",0.005
"133",0.0333333333333333
"134",0.035
"135",0.035
"136",0.035
"137",0.035
"138",0.035
"139",0.035
"140",0.0333333333333333
"141",0.035
"142",0.00166666666666667
"143",0.005
"144",0
