"","x"
"1",0
"2",0
"3",0.00333333333333333
"4",0
"5",0.00166666666666667
"6",0.005
"7",0.00166666666666667
"8",0.00166666666666667
"9",0
"10",0
"11",0.00333333333333333
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0.005
"18",0
"19",0
"20",0.00333333333333333
"21",0
"22",0.00166666666666667
"23",0.005
"24",0.00166666666666667
"25",0.00166666666666667
"26",0
"27",0
"28",0.00333333333333333
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0.005
"35",0.00333333333333333
"36",0.00333333333333333
"37",0
"38",0.00333333333333333
"39",0.005
"40",0.00833333333333333
"41",0.005
"42",0.005
"43",0.00333333333333333
"44",0.00333333333333333
"45",0.00666666666666667
"46",0.00333333333333333
"47",0.00333333333333333
"48",0.00333333333333333
"49",0.00333333333333333
"50",0.00333333333333333
"51",0.00833333333333333
"52",0
"53",0
"54",0.00333333333333333
"55",0
"56",0.00166666666666667
"57",0.005
"58",0.00166666666666667
"59",0.00166666666666667
"60",0
"61",0
"62",0.00333333333333333
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0.005
"69",0.00166666666666667
"70",0.00166666666666667
"71",0.005
"72",0.00166666666666667
"73",0
"74",0.00666666666666667
"75",0.00333333333333333
"76",0
"77",0.00166666666666667
"78",0.00166666666666667
"79",0.005
"80",0.00166666666666667
"81",0.00166666666666667
"82",0.00166666666666667
"83",0.00166666666666667
"84",0.00166666666666667
"85",0.00666666666666667
"86",0.005
"87",0.005
"88",0.00833333333333333
"89",0.005
"90",0.00666666666666667
"91",0
"92",0.00666666666666667
"93",0.00666666666666667
"94",0.005
"95",0.005
"96",0.00166666666666667
"97",0.005
"98",0.005
"99",0.005
"100",0.005
"101",0.005
"102",0
"103",0.00166666666666667
"104",0.00166666666666667
"105",0.005
"106",0.00166666666666667
"107",0.00333333333333333
"108",0.00666666666666667
"109",0
"110",0.00333333333333333
"111",0.00166666666666667
"112",0.00166666666666667
"113",0.005
"114",0.00166666666666667
"115",0.00166666666666667
"116",0.00166666666666667
"117",0.00166666666666667
"118",0.00166666666666667
"119",0.00666666666666667
"120",0.00166666666666667
"121",0.00166666666666667
"122",0.005
"123",0.00166666666666667
"124",0
"125",0.00666666666666667
"126",0.00333333333333333
"127",0
"128",0.00166666666666667
"129",0.00166666666666667
"130",0.005
"131",0.00166666666666667
"132",0.00166666666666667
"133",0.00166666666666667
"134",0.00166666666666667
"135",0.00166666666666667
"136",0.00666666666666667
"137",0
"138",0
"139",0.00333333333333333
"140",0
"141",0.00166666666666667
"142",0.005
"143",0.00166666666666667
"144",0.00166666666666667
"145",0
"146",0
"147",0.00333333333333333
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0.005
"154",0
"155",0
"156",0.00333333333333333
"157",0
"158",0.00166666666666667
"159",0.005
"160",0.00166666666666667
"161",0.00166666666666667
"162",0
"163",0
"164",0.00333333333333333
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0.005
"171",0.00333333333333333
"172",0.00333333333333333
"173",0.00666666666666667
"174",0.00333333333333333
"175",0.005
"176",0.00166666666666667
"177",0.005
"178",0.005
"179",0.00333333333333333
"180",0.00333333333333333
"181",0
"182",0.00333333333333333
"183",0.00333333333333333
"184",0.00333333333333333
"185",0.00333333333333333
"186",0.00333333333333333
"187",0.00166666666666667
"188",0
"189",0
"190",0.00333333333333333
"191",0
"192",0.00166666666666667
"193",0.005
"194",0.00166666666666667
"195",0.00166666666666667
"196",0
"197",0
"198",0.00333333333333333
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0.005
"205",0
"206",0
"207",0.00333333333333333
"208",0
"209",0.00166666666666667
"210",0.005
"211",0.00166666666666667
"212",0.00166666666666667
"213",0
"214",0
"215",0.00333333333333333
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0.005
"222",0
"223",0
"224",0.00333333333333333
"225",0
"226",0.00166666666666667
"227",0.005
"228",0.00166666666666667
"229",0.00166666666666667
"230",0
"231",0
"232",0.00333333333333333
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0.005
"239",0
"240",0
"241",0.00333333333333333
"242",0
"243",0.00166666666666667
"244",0.005
"245",0.00166666666666667
"246",0.00166666666666667
"247",0
"248",0
"249",0.00333333333333333
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0.005
"256",0
"257",0
"258",0.00333333333333333
"259",0
"260",0.00166666666666667
"261",0.005
"262",0.00166666666666667
"263",0.00166666666666667
"264",0
"265",0
"266",0.00333333333333333
"267",0
"268",0
"269",0
"270",0
"271",0
"272",0.005
"273",0.005
"274",0.005
"275",0.00833333333333333
"276",0.005
"277",0.00666666666666667
"278",0
"279",0.00666666666666667
"280",0.00666666666666667
"281",0.005
"282",0.005
"283",0.00166666666666667
"284",0.005
"285",0.005
"286",0.005
"287",0.005
"288",0.005
"289",0
