"","x"
"1",0
"2",0.00166666666666667
"3",0
"4",0.00833333333333333
"5",0
"6",0.01
"7",0
"8",0
"9",0.00166666666666667
"10",0
"11",0.00166666666666667
"12",0.00666666666666667
"13",0.00166666666666667
"14",0.00833333333333333
"15",0.00166666666666667
"16",0.00166666666666667
"17",0
"18",0.00166666666666667
"19",0
"20",0.00833333333333333
"21",0
"22",0.01
"23",0
"24",0
"25",0.00833333333333333
"26",0.00666666666666667
"27",0.00833333333333333
"28",0
"29",0.00833333333333333
"30",0.005
"31",0.00833333333333333
"32",0.00833333333333333
"33",0
"34",0.00166666666666667
"35",0
"36",0.00833333333333333
"37",0
"38",0.01
"39",0
"40",0
"41",0.01
"42",0.00833333333333333
"43",0.01
"44",0.005
"45",0.01
"46",0
"47",0.01
"48",0.01
"49",0
"50",0.00166666666666667
"51",0
"52",0.00833333333333333
"53",0
"54",0.01
"55",0
"56",0
"57",0
"58",0.00166666666666667
"59",0
"60",0.00833333333333333
"61",0
"62",0.01
"63",0
"64",0
