"","x"
"1",0
"2",0.0116666666666667
"3",0.00833333333333333
"4",0.0116666666666667
"5",0.01
"6",0.01
"7",0.01
"8",0.0116666666666667
"9",0
"10",0.00666666666666667
"11",0.00333333333333333
"12",0.015
"13",0.0183333333333333
"14",0.005
"15",0.00833333333333333
"16",0.00666666666666667
"17",0
"18",0.00666666666666667
"19",0.0116666666666667
"20",0.015
"21",0.00833333333333333
"22",0.0116666666666667
"23",0.00333333333333333
"24",0.00666666666666667
"25",0
"26",0.015
"27",0.0183333333333333
"28",0.00166666666666667
"29",0.01
"30",0.015
"31",0.0116666666666667
"32",0.015
"33",0
"34",0.01
"35",0.0166666666666667
"36",0.01
"37",0.0183333333333333
"38",0.015
"39",0.0183333333333333
"40",0.01
"41",0
"42",0.0166666666666667
"43",0.01
"44",0.005
"45",0.00833333333333333
"46",0.00166666666666667
"47",0.0166666666666667
"48",0.0166666666666667
"49",0
