"","x"
"1",0
"2",0
"3",0.00666666666666667
"4",0.00833333333333333
"5",0
"6",0.00166666666666667
"7",0
"8",0
"9",0.00666666666666667
"10",0.00833333333333333
"11",0
"12",0.00166666666666667
"13",0.00666666666666667
"14",0.00666666666666667
"15",0
"16",0.00166666666666667
"17",0.00666666666666667
"18",0.00833333333333333
"19",0.00833333333333333
"20",0.00833333333333333
"21",0.00166666666666667
"22",0
"23",0.00833333333333333
"24",0.01
"25",0
"26",0
"27",0.00666666666666667
"28",0.00833333333333333
"29",0
"30",0.00166666666666667
"31",0.00166666666666667
"32",0.00166666666666667
"33",0.00833333333333333
"34",0.01
"35",0.00166666666666667
"36",0
