"","x"
"1",0
"2",0.0216666666666667
"3",0.02
"4",0
"5",0
"6",0.0183333333333333
"7",0.02
"8",0.0166666666666667
"9",0.0216666666666667
"10",0
"11",0.00166666666666667
"12",0.0216666666666667
"13",0.0216666666666667
"14",0.00333333333333333
"15",0.00166666666666667
"16",0.005
"17",0.02
"18",0.00166666666666667
"19",0
"20",0.02
"21",0.02
"22",0.00166666666666667
"23",0
"24",0.00333333333333333
"25",0
"26",0.0216666666666667
"27",0.02
"28",0
"29",0
"30",0.0183333333333333
"31",0.02
"32",0.0166666666666667
"33",0
"34",0.0216666666666667
"35",0.02
"36",0
"37",0
"38",0.0183333333333333
"39",0.02
"40",0.0166666666666667
"41",0.0183333333333333
"42",0.00333333333333333
"43",0.00166666666666667
"44",0.0183333333333333
"45",0.0183333333333333
"46",0
"47",0.00166666666666667
"48",0.00166666666666667
"49",0.02
"50",0.00166666666666667
"51",0
"52",0.02
"53",0.02
"54",0.00166666666666667
"55",0
"56",0.00333333333333333
"57",0.0166666666666667
"58",0.005
"59",0.00333333333333333
"60",0.0166666666666667
"61",0.0166666666666667
"62",0.00166666666666667
"63",0.00333333333333333
"64",0
