"","x"
"1",0
"2",0.00166666666666667
"3",0
"4",0.00166666666666667
"5",0
"6",0
"7",0
"8",0.00166666666666667
"9",0
"10",0.00166666666666667
"11",0.00333333333333333
"12",0.00166666666666667
"13",0.00166666666666667
"14",0.00166666666666667
"15",0
"16",0.00166666666666667
"17",0
"18",0.00166666666666667
"19",0
"20",0
"21",0
"22",0.00166666666666667
"23",0.00333333333333333
"24",0.00166666666666667
"25",0
"26",0.00166666666666667
"27",0.00166666666666667
"28",0.00166666666666667
"29",0
"30",0.00166666666666667
"31",0
"32",0.00166666666666667
"33",0
"34",0
"35",0
"36",0
"37",0.00166666666666667
"38",0
"39",0.00166666666666667
"40",0
"41",0
"42",0
"43",0
"44",0.00166666666666667
"45",0
"46",0.00166666666666667
"47",0
"48",0
"49",0
