"","x"
"1",0.133333333333333
"2",0.135
"3",0.136666666666667
"4",0.133333333333333
"5",0.135
"6",0.136666666666667
"7",0.135
"8",0.136666666666667
"9",0.138333333333333
"10",0.133333333333333
"11",0.135
"12",0.136666666666667
"13",0.133333333333333
"14",0.135
"15",0.136666666666667
"16",0.123333333333333
"17",0.123333333333333
"18",0.123333333333333
"19",0.123333333333333
"20",0.123333333333333
"21",0.123333333333333
"22",0.121666666666667
"23",0.125
"24",0.121666666666667
"25",0.125
"26",0.125
"27",0.125
"28",0.123333333333333
"29",0.123333333333333
"30",0.123333333333333
"31",0.125
"32",0.125
"33",0.125
"34",0.125
"35",0.125
"36",0.125
"37",0.12
"38",0.123333333333333
"39",0.12
"40",0.121666666666667
"41",0.125
"42",0.121666666666667
"43",0.123333333333333
"44",0.123333333333333
"45",0.123333333333333
"46",0.121666666666667
"47",0.125
"48",0.121666666666667
"49",0.123333333333333
"50",0.123333333333333
"51",0.123333333333333
"52",0.125
"53",0.125
"54",0.125
"55",0.125
"56",0.125
"57",0.125
"58",0.121666666666667
"59",0.125
"60",0.121666666666667
"61",0.121666666666667
"62",0.125
"63",0.121666666666667
"64",0.135
"65",0.135
"66",0.135
"67",0.136666666666667
"68",0.136666666666667
"69",0.136666666666667
"70",0.135
"71",0.135
"72",0.135
"73",0.136666666666667
"74",0.133333333333333
"75",0.136666666666667
"76",0.136666666666667
"77",0.136666666666667
"78",0.136666666666667
"79",0.135
"80",0.135
"81",0.135
"82",0.135
"83",0.135
"84",0.135
"85",0.135
"86",0.135
"87",0.135
"88",0.135
"89",0.135
"90",0.135
"91",0.136666666666667
"92",0.133333333333333
"93",0.136666666666667
"94",0.135
"95",0.135
"96",0.135
"97",0.135
"98",0.135
"99",0.135
"100",0.135
"101",0.135
"102",0.135
"103",0.135
"104",0.135
"105",0.135
"106",0.135
"107",0.135
"108",0.135
"109",0.135
"110",0.135
"111",0.135
"112",0.136666666666667
"113",0.133333333333333
"114",0.136666666666667
"115",0.135
"116",0.135
"117",0.135
"118",0.135
"119",0.135
"120",0.135
"121",0.133333333333333
"122",0.133333333333333
"123",0.133333333333333
"124",0.135
"125",0.135
"126",0.135
"127",0.136666666666667
"128",0.136666666666667
"129",0.136666666666667
"130",0.135
"131",0.135
"132",0.135
"133",0.135
"134",0.135
"135",0.135
"136",0.135
"137",0.135
"138",0.135
"139",0.135
"140",0.135
"141",0.135
"142",0.136666666666667
"143",0.136666666666667
"144",0.136666666666667
"145",0.135
"146",0.135
"147",0.135
"148",0.135
"149",0.135
"150",0.135
"151",0.136666666666667
"152",0.136666666666667
"153",0.136666666666667
"154",0.135
"155",0.135
