"","x"
"1",0
"2",0.0183333333333333
"3",0.00166666666666667
"4",0.00166666666666667
"5",0.0183333333333333
"6",0.005
"7",0.005
"8",0.0183333333333333
"9",0.025
"10",0.005
"11",0
"12",0.005
"13",0.0166666666666667
"14",0.0183333333333333
"15",0.00166666666666667
"16",0.005
"17",0.025
"18",0.0216666666666667
"19",0.0183333333333333
"20",0.0216666666666667
"21",0.0216666666666667
"22",0.02
"23",0.0166666666666667
"24",0
"25",0.025
"26",0.025
"27",0.005
"28",0.0183333333333333
"29",0
"30",0.0166666666666667
"31",0.0166666666666667
"32",0.00333333333333333
"33",0.02
"34",0.02
"35",0.00333333333333333
"36",0.03
"37",0.02
"38",0.0183333333333333
"39",0.02
"40",0.00833333333333333
"41",0.00666666666666667
"42",0.0166666666666667
"43",0.02
"44",0.03
"45",0.0333333333333333
"46",0.01
"47",0.0333333333333333
"48",0.0333333333333333
"49",0.0316666666666667
"50",0.00833333333333333
"51",0.0183333333333333
"52",0.03
"53",0.03
"54",0.02
"55",0.00166666666666667
"56",0.0166666666666667
"57",0
"58",0
"59",0.0166666666666667
"60",0.00333333333333333
"61",0.00333333333333333
"62",0.0166666666666667
"63",0.0266666666666667
"64",0.00333333333333333
"65",0.00166666666666667
"66",0.00333333333333333
"67",0.015
"68",0.0166666666666667
"69",0
"70",0.00333333333333333
"71",0.0266666666666667
"72",0.0233333333333333
"73",0.0166666666666667
"74",0.0233333333333333
"75",0.0233333333333333
"76",0.0216666666666667
"77",0.015
"78",0.00166666666666667
"79",0.0266666666666667
"80",0.0266666666666667
"81",0.00333333333333333
"82",0.00166666666666667
"83",0.0166666666666667
"84",0
"85",0
"86",0.0166666666666667
"87",0.00333333333333333
"88",0.00333333333333333
"89",0.0166666666666667
"90",0.0266666666666667
"91",0.00333333333333333
"92",0.00166666666666667
"93",0.00333333333333333
"94",0.015
"95",0.0166666666666667
"96",0
"97",0.00333333333333333
"98",0.0266666666666667
"99",0.0233333333333333
"100",0.0166666666666667
"101",0.0233333333333333
"102",0.0233333333333333
"103",0.0216666666666667
"104",0.015
"105",0.00166666666666667
"106",0.0266666666666667
"107",0.0266666666666667
"108",0.00333333333333333
"109",0.0183333333333333
"110",0.00333333333333333
"111",0.0166666666666667
"112",0.0166666666666667
"113",0
"114",0.0166666666666667
"115",0.0166666666666667
"116",0
"117",0.0266666666666667
"118",0.0166666666666667
"119",0.0183333333333333
"120",0.0166666666666667
"121",0.005
"122",0.00333333333333333
"123",0.0166666666666667
"124",0.0166666666666667
"125",0.0266666666666667
"126",0.03
"127",0.00666666666666667
"128",0.03
"129",0.03
"130",0.0283333333333333
"131",0.005
"132",0.0183333333333333
"133",0.0266666666666667
"134",0.0266666666666667
"135",0.0166666666666667
"136",0.005
"137",0.02
"138",0.00333333333333333
"139",0.00333333333333333
"140",0.0166666666666667
"141",0
"142",0
"143",0.0166666666666667
"144",0.0233333333333333
"145",0
"146",0.005
"147",0
"148",0.0116666666666667
"149",0.0133333333333333
"150",0.00333333333333333
"151",0
"152",0.0233333333333333
"153",0.02
"154",0.0133333333333333
"155",0.02
"156",0.02
"157",0.0183333333333333
"158",0.0116666666666667
"159",0.005
"160",0.0233333333333333
"161",0.0233333333333333
"162",0
"163",0.005
"164",0.02
"165",0.00333333333333333
"166",0.00333333333333333
"167",0.0166666666666667
"168",0
"169",0
"170",0.0166666666666667
"171",0.0233333333333333
"172",0
"173",0.005
"174",0
"175",0.0116666666666667
"176",0.0133333333333333
"177",0.00333333333333333
"178",0
"179",0.0233333333333333
"180",0.02
"181",0.0133333333333333
"182",0.02
"183",0.02
"184",0.0183333333333333
"185",0.0116666666666667
"186",0.005
"187",0.0233333333333333
"188",0.0233333333333333
"189",0
"190",0.0183333333333333
"191",0.00333333333333333
"192",0.0166666666666667
"193",0.0166666666666667
"194",0
"195",0.0166666666666667
"196",0.0166666666666667
"197",0
"198",0.0266666666666667
"199",0.0166666666666667
"200",0.0183333333333333
"201",0.0166666666666667
"202",0.005
"203",0.00333333333333333
"204",0.0166666666666667
"205",0.0166666666666667
"206",0.0266666666666667
"207",0.03
"208",0.00666666666666667
"209",0.03
"210",0.03
"211",0.0283333333333333
"212",0.005
"213",0.0183333333333333
"214",0.0266666666666667
"215",0.0266666666666667
"216",0.0166666666666667
"217",0.025
"218",0.03
"219",0.0266666666666667
"220",0.0266666666666667
"221",0.0266666666666667
"222",0.0233333333333333
"223",0.0233333333333333
"224",0.0266666666666667
"225",0
"226",0.0233333333333333
"227",0.025
"228",0.0233333333333333
"229",0.025
"230",0.0233333333333333
"231",0.0266666666666667
"232",0.0233333333333333
"233",0
