"","x"
"1",0
"2",0.00333333333333333
"3",0.01
"4",0.01
"5",0.01
"6",0.01
"7",0.00666666666666667
"8",0.00666666666666667
"9",0.00333333333333333
"10",0
"11",0.01
"12",0.01
"13",0.01
"14",0.01
"15",0.00333333333333333
"16",0.00666666666666667
"17",0.01
"18",0.01
"19",0
"20",0.01
"21",0
"22",0
"23",0.01
"24",0.00666666666666667
"25",0.01
"26",0.01
"27",0.01
"28",0
"29",0.01
"30",0.01
"31",0.0133333333333333
"32",0.00333333333333333
"33",0.01
"34",0.01
"35",0
"36",0.01
"37",0
"38",0
"39",0.01
"40",0.00666666666666667
"41",0.01
"42",0.01
"43",0
"44",0.01
"45",0
"46",0
"47",0.01
"48",0.00666666666666667
"49",0.00666666666666667
"50",0.00333333333333333
"51",0.01
"52",0.0133333333333333
"53",0.01
"54",0.01
"55",0
"56",0.01
"57",0.00666666666666667
"58",0.00666666666666667
"59",0.00666666666666667
"60",0.00333333333333333
"61",0.00666666666666667
"62",0.00666666666666667
"63",0.01
"64",0
