"","x"
"1",0
"2",0.015
"3",0.015
"4",0.015
"5",0.015
"6",0.015
"7",0.015
"8",0.015
"9",0.015
"10",0.015
"11",0
"12",0
"13",0.0116666666666667
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0.015
"20",0
"21",0
"22",0.0116666666666667
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0.015
"29",0.0116666666666667
"30",0.0116666666666667
"31",0
"32",0.0116666666666667
"33",0.0116666666666667
"34",0.0116666666666667
"35",0.0116666666666667
"36",0.0116666666666667
"37",0.015
"38",0
"39",0
"40",0.0116666666666667
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0.015
"47",0
"48",0
"49",0.0116666666666667
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0.015
"56",0
"57",0
"58",0.0116666666666667
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0.015
"65",0
"66",0
"67",0.0116666666666667
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0.015
"74",0
"75",0
"76",0.0116666666666667
"77",0
"78",0
"79",0
"80",0
"81",0
